,selected_image_indices,value,selected_image_names,selected_images
26,5051,0.081439294,COVID-257.png,"[[  5   5   5 ...   2   2   2]
 [  4   4   4 ...   2   2   2]
 [  4   4   4 ...   2   2   2]
 ...
 [126  20   0 ...   0   0   0]
 [127  21   0 ...  20  21  21]
 [132  21   0 ... 126 128 132]]"
27,3073,0.07989152,COVID-1662.png,"[[239 235 234 ...  36   0   2]
 [238 236 234 ...  33   0   2]
 [237 236 218 ...  37   0   2]
 ...
 [  3   0  46 ...  74  70  39]
 [  3   0  41 ...   0   0   0]
 [  3   0  24 ...   3   3   3]]"
28,1346,0.07883739,Normal-261.png,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
29,5287,0.077677935,COVID-1566.png,"[[197 191 170 ... 148 142 139]
 [150 172 182 ... 152 148 142]
 [119 130 156 ... 153 148 142]
 ...
 [204 206 210 ... 191 186 179]
 [204 208 208 ... 191 187 184]
 [204 208 206 ... 190 191 189]]"
30,4868,0.07651691,COVID-1815.png,"[[147  94  86 ...  66  67  68]
 [139  95  93 ...  68  67  66]
 [123  71  67 ...  67  66  68]
 ...
 [190 163 163 ... 157 151 150]
 [191 164 165 ... 159 154 153]
 [209 188 190 ... 184 181 180]]"
31,6053,0.07549881,Lung_Opacity-828.png,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
32,6937,0.074497834,Lung_Opacity-2027.png,"[[183 205 207 ... 198 195 174]
 [210 235 239 ... 228 225 201]
 [214 239 243 ... 232 229 205]
 ...
 [176 189 178 ...  66  66  59]
 [171 181 169 ...  64  65  59]
 [146 151 141 ...  56  57  50]]"
33,7075,0.07351017,Lung_Opacity-2677.png,"[[235 228 227 ... 221 221 220]
 [230 227 228 ... 222 222 221]
 [228 226 227 ... 221 221 220]
 ...
 [238 237 236 ... 242 242 243]
 [240 238 237 ... 243 243 243]
 [243 239 237 ... 243 243 243]]"
34,5752,0.07270278,COVID-1285.png,"[[ 42  43  43 ...  58  58  58]
 [ 46  32  20 ...  25  24  24]
 [ 34  16   4 ...   4   3   3]
 ...
 [207 207 207 ... 170 167 164]
 [209 210 210 ... 173 170 166]
 [212 213 213 ... 178 175 171]]"
35,835,0.07137757,Normal-8016.png,"[[ 20  23  24 ...  38  36  31]
 [ 23  27  28 ...  41  40  35]
 [ 24  28  29 ...  41  40  35]
 ...
 [193 216 219 ... 160 159 144]
 [195 219 222 ... 157 156 144]
 [172 192 196 ... 136 137 127]]"
36,2620,0.070521854,Normal-792.png,"[[105 122 124 ...  83  82  85]
 [104 121 124 ...  84  84  89]
 [105 121 123 ...  88  88  91]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]"
37,3687,0.06991832,COVID-1512.png,"[[125 132 140 ... 145 138 140]
 [133 130 132 ... 147 143 143]
 [153 145 146 ... 151 148 140]
 ...
 [ 71 110 144 ...  80  72  56]
 [ 74 103 136 ...  77  69  53]
 [ 79 104 138 ...  76  69  53]]"
38,4730,0.06933409,COVID-2090.png,"[[34  6  0 ...  0  6 34]
 [34  6  0 ...  0  6 34]
 [34  6  0 ...  0  6 34]
 ...
 [34  6  0 ...  0  6 34]
 [34  6  0 ...  0  6 34]
 [34  6  0 ...  0  6 34]]"
39,417,0.068335846,Normal-8053.png,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
40,5891,0.06771577,COVID-949.png,"[[206 142 126 ... 125 123 120]
 [174  65  33 ...  32  30  26]
 [169  49  14 ...  15  13   7]
 ...
 [245 229 224 ... 244 241 245]
 [245 239 236 ... 245 243 242]
 [234 209 200 ... 214 210 204]]"
41,1255,0.06736509,Normal-671.png,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
42,3891,0.0667181,COVID-1390.png,"[[147 146 143 ...  54  54  61]
 [148 151 151 ...  64  64  65]
 [177 187 195 ...  73  76  74]
 ...
 [161 156 159 ... 129 117  99]
 [163 159 163 ... 129 115 101]
 [162 164 166 ... 115 108 102]]"
43,7553,0.06613744,Lung_Opacity-4291.png,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
44,368,0.06556085,Normal-1656.png,"[[ 12  18  19 ...  14  14  14]
 [ 12  18  19 ...  14  14  14]
 [ 11  17  18 ...  14  14  14]
 ...
 [ 55  93 119 ...  87  95 119]
 [ 55  94 116 ...  80  91 118]
 [ 42  70  84 ...  53  60  77]]"
45,5749,0.06502612,COVID-239.png,"[[142 143 152 ... 251 254 254]
 [159 157 161 ... 251 255 255]
 [138 134 133 ... 246 255 255]
 ...
 [225 226 224 ... 255 255 255]
 [255 255 254 ... 255 255 255]
 [255 255 254 ... 255 255 255]]"
46,125,0.0646629,Normal-2095.png,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
47,8533,0.064080276,Lung_Opacity-1558.png,"[[ 13  14  13 ...  14  20  25]
 [ 15  15  14 ...  15  20  26]
 [ 14  15  14 ...  14  20  26]
 ...
 [179 183 179 ... 236 235 214]
 [182 190 190 ... 236 233 213]
 [166 177 179 ... 208 206 187]]"
48,6302,0.063688576,Lung_Opacity-1105.png,"[[ 2  2  1 ...  1  1  1]
 [ 2  2  2 ...  1  1  1]
 [ 1  1  2 ...  1  1  1]
 ...
 [40 47 52 ... 18 12  9]
 [40 47 52 ... 18 12  7]
 [36 42 46 ... 15 11  6]]"
49,433,0.063281104,Normal-801.png,"[[ 91 105 105 ...  53  55  67]
 [ 91 105 105 ...  51  53  67]
 [ 92 106 106 ...  51  52  67]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]"
50,5807,0.062588625,COVID-1279.png,"[[ 34  15   3 ...   0   0   0]
 [ 30  13   2 ...   0   0   0]
 [ 28  12   2 ...   0   0   0]
 ...
 [ 88 161 208 ... 161 144 121]
 [ 88 161 208 ... 158 144 125]
 [ 89 162 209 ... 158 145 127]]"
51,5511,0.062244177,COVID-1699.png,"[[37  6  0 ...  0  6 37]
 [37  6  0 ...  0  6 37]
 [35  6  0 ...  0  6 37]
 ...
 [32  5  0 ...  0  5 32]
 [42 17 11 ... 11 17 42]
 [99 76 71 ... 71 76 99]]"
52,8587,0.0619384,Lung_Opacity-4964.png,"[[ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 ...
 [ 7 11 11 ...  0  0  0]
 [ 7 11 11 ...  0  0  0]
 [ 7 11 11 ...  0  0  0]]"
53,1356,0.061401427,Normal-769.png,"[[0 0 0 ... 3 0 0]
 [0 0 0 ... 3 0 0]
 [0 0 0 ... 3 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
54,8555,0.061028294,Lung_Opacity-5458.png,"[[162 139 121 ... 206 216 205]
 [ 81  58  42 ... 166 203 196]
 [ 27  14   6 ... 108 172 188]
 ...
 [  5   5   5 ...   8  16  30]
 [  6   5   5 ...  10  19  34]
 [  8   6   5 ...  14  25  39]]"
55,4295,0.060715154,COVID-1569.png,"[[120 118 115 ... 137 129 127]
 [123 123 116 ... 142 136 132]
 [118 118 115 ... 147 140 141]
 ...
 [198 200 198 ... 206 208 216]
 [202 202 202 ... 213 212 221]
 [205 204 208 ... 209 213 216]]"
56,4812,0.0604925,COVID-1876.png,"[[16 12  4 ...  0  1  8]
 [36 15  5 ...  0  1  8]
 [41  9  2 ...  0  1  8]
 ...
 [ 6  1  0 ...  0  1  8]
 [ 8  1  0 ...  0  1  8]
 [ 8  1  0 ...  0  1  8]]"
57,4075,0.059961308,COVID-23.png,"[[ 71  76  85 ...  74  77 100]
 [ 29  37  49 ...  33  38  68]
 [ 24  32  44 ...  28  34  63]
 ...
 [ 25  28  28 ...  27  31  60]
 [ 32  35  36 ...  34  38  67]
 [ 81  84  84 ...  83  87 109]]"
58,2912,0.05970671,Normal-881.png,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
59,662,0.05933129,Normal-6211.png,"[[ 0  0  0 ...  1  6 15]
 [ 0  0  0 ...  0  1  3]
 [ 0  0  0 ...  0  0  0]
 ...
 [ 1  8 18 ... 10  0  0]
 [ 4 12 27 ... 15  1  0]
 [ 9 20 33 ... 24  6  0]]"
60,5083,0.05919134,COVID-1179.png,"[[175 171 168 ... 172 134 113]
 [166 162 159 ... 208 181 161]
 [159 154 151 ... 241 226 211]
 ...
 [223 223 223 ... 215 212 209]
 [223 223 223 ... 214 211 208]
 [223 223 223 ... 214 211 208]]"
61,5341,0.058857318,COVID-458.png,"[[ 29  25  24 ...  79  76  81]
 [  5   4   4 ...  63  63  72]
 [  0   0   0 ...  66  69  77]
 ...
 [189 191 190 ... 205 197 200]
 [189 190 189 ... 206 197 199]
 [189 189 190 ... 206 196 198]]"
62,962,0.05835212,Normal-1537.png,"[[2 2 2 ... 2 2 2]
 [2 2 2 ... 2 2 2]
 [2 2 2 ... 2 2 2]
 ...
 [2 2 2 ... 2 2 2]
 [2 2 2 ... 2 2 2]
 [2 2 2 ... 2 2 2]]"
63,6793,0.05800079,Lung_Opacity-4015.png,"[[214 208 202 ...  10   9   6]
 [206 200 192 ...  10   9   6]
 [198 193 178 ...  10   9   6]
 ...
 [220 213 184 ...  10   9   6]
 [225 218 189 ...  10   9   6]
 [229 223 192 ...  10   9   6]]"
64,1470,0.0578048,Normal-623.png,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [1 0 0 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 [1 0 0 ... 0 0 0]]"
65,5586,0.057702225,COVID-1612.png,"[[153 148 135 ... 132 127 123]
 [160 152 139 ... 129 128 125]
 [160 155 147 ... 125 125 121]
 ...
 [239 241 240 ... 229 230 234]
 [242 241 238 ... 231 235 239]
 [241 240 237 ... 233 236 239]]"
66,5437,0.057376564,COVID-1186.png,"[[205 206 206 ... 206 206 206]
 [ 36  35  35 ...  35  35  35]
 [  0   0   0 ...   0   0   0]
 ...
 [108 118 137 ... 142 141 132]
 [109 116 135 ... 143 140 128]
 [107 115 133 ... 142 140 122]]"
67,4634,0.057118382,COVID-1701.png,"[[226 224 223 ... 212 212 213]
 [220 219 218 ... 208 209 209]
 [216 218 218 ... 205 205 205]
 ...
 [249 247 247 ...  10   4   0]
 [250 248 248 ...  14   5   0]
 [248 247 248 ...  20   9   1]]"
68,5916,0.056864146,COVID-1213.png,"[[ 37  30  27 ...  34  34  34]
 [ 47  42  38 ...  34  33  33]
 [ 52  51  50 ...  34  33  33]
 ...
 [156 154 153 ... 124 123 122]
 [155 153 151 ... 123 122 121]
 [155 151 149 ... 123 122 122]]"
69,2690,0.056634232,Normal-1240.png,"[[  0   0   0 ... 154 153 153]
 [  0   0   0 ... 151 152 152]
 [  0   0   0 ... 150 153 154]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]"
70,3042,0.056445844,COVID-1853.png,"[[  0   0   0 ... 144 140 137]
 [  0   0   0 ... 155 157 159]
 [  0   0   0 ...  75  76  80]
 ...
 [107 136 177 ... 197 194 187]
 [106 134 177 ... 195 194 191]
 [106 132 177 ... 182 181 180]]"
71,7641,0.05615197,Lung_Opacity-3326.png,"[[  3   4   4 ...   6   6   6]
 [  8   9   9 ...  14  15  14]
 [  9  10  10 ...  16  17  16]
 ...
 [ 31  48  57 ... 123  62 141]
 [ 31  47  57 ...  76  84 155]
 [ 27  41  49 ...  53 131 177]]"
72,3236,0.055848256,COVID-1212.png,"[[34  6  0 ...  0  6 34]
 [34  6  0 ...  0  6 34]
 [34  6  0 ...  0  6 34]
 ...
 [34  6  0 ...  0  6 34]
 [34  6  0 ...  0  6 34]
 [34  6  0 ...  0  6 34]]"
73,1373,0.055606715,Normal-1004.png,"[[ 6  2  3 ... 19 15 13]
 [ 5  2  2 ... 20 17 11]
 [ 4  0  2 ... 19 17 11]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]"
74,1697,0.055363335,Normal-5820.png,"[[  1   1   1 ...   1   1   1]
 [  1   1   1 ...   1   1   1]
 [  1   1   1 ...   1   1   1]
 ...
 [ 48  82 110 ...  34  35  31]
 [ 26  44  59 ...  19  20  18]
 [  0   0   0 ...   0   0   0]]"
75,3402,0.055085428,COVID-1673.png,"[[ 22  23  23 ...  37  36  35]
 [ 25  26  27 ...  44  43  41]
 [ 24  26  27 ...  48  46  43]
 ...
 [105 106 106 ... 175 179 177]
 [105 104 105 ... 177 179 175]
 [ 94  95  96 ... 156 153 153]]"
76,652,0.05492112,Normal-3307.png,"[[163 160 152 ...  87  93  92]
 [156 143 111 ...  15  18  19]
 [128  92  50 ...   0   0   0]
 ...
 [  1   0   0 ...   0   0   0]
 [  1   0   0 ...   0   0   0]
 [  3   1   0 ...   0   0   0]]"
77,7244,0.05467809,Lung_Opacity-505.png,"[[10 12 12 ... 14 14 12]
 [12 14 15 ... 16 16 14]
 [13 15 16 ... 16 17 15]
 ...
 [11 13 14 ...  7  7  7]
 [11 12 13 ...  7  8  7]
 [10 10 11 ...  6  6  6]]"
78,1324,0.054450132,Normal-1005.png,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
79,5345,0.05434239,COVID-1456.png,"[[157 124 110 ... 152 142 135]
 [155 123 109 ... 154 150 150]
 [156 126 112 ... 155 153 153]
 ...
 [192 194 199 ... 168 171 174]
 [194 196 201 ... 170 170 172]
 [186 195 201 ... 169 172 173]]"
80,3486,0.053902432,COVID-780.png,"[[  2   1   1 ...   0   0   0]
 [  2   1   1 ...   0   0   0]
 [  2   1   1 ...   0   0   0]
 ...
 [215 216 218 ... 247 247 246]
 [215 216 218 ... 247 247 246]
 [215 216 219 ... 247 247 246]]"
81,6158,0.05374513,Lung_Opacity-2831.png,"[[  4   2   3 ...   5   4   5]
 [ 37  35  32 ...  59  61  57]
 [ 48  49  45 ...  74  75  71]
 ...
 [ 53  49  40 ... 106 110 104]
 [ 32  31  25 ...  90  91  86]
 [  0   0   0 ...   0   0   0]]"
82,4815,0.053646293,COVID-1351.png,"[[131 124 126 ... 114 131 137]
 [162 144 138 ... 134 140 142]
 [169 155 140 ... 149 148 150]
 ...
 [175 173 170 ... 119 116 115]
 [178 173 171 ... 119 119 118]
 [182 178 180 ... 123 121 118]]"
83,7635,0.05336824,Lung_Opacity-2120.png,"[[ 30  35  33 ...  15  13  11]
 [ 35  43  46 ...  26  17  15]
 [ 37  45  51 ...  30  18  17]
 ...
 [ 81  98 105 ...  10  15  17]
 [ 79  95 103 ...   6   6   7]
 [ 68  81  89 ...   6   5   3]]"
84,4811,0.053241257,COVID-3021.png,"[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [  0   0   0 ... 255 249 221]
 [  0   0   0 ... 255 249 221]
 [  0   0   0 ... 255 249 221]]"
85,1546,0.0531265,Normal-788.png,"[[ 0  0  0 ... 42 36 32]
 [ 0  0  0 ... 39 34 30]
 [ 0  0  0 ... 38 32 29]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]"
86,2982,0.05298812,Normal-6954.png,"[[ 57  37  22 ...  18  24  29]
 [ 30  17  11 ...  10  12  12]
 [ 17  10   7 ...   6   6   5]
 ...
 [170 156 145 ... 140 148 153]
 [174 161 155 ... 141 152 156]
 [178 164 159 ... 151 158 161]]"
87,6327,0.05264826,Lung_Opacity-5194.png,"[[ 2  3  4 ... 29 33 37]
 [ 2  4  4 ... 28 32 35]
 [ 2  4  4 ... 25 28 30]
 ...
 [27 50 66 ... 10  6  2]
 [27 51 66 ...  9  5  1]
 [21 37 46 ...  7  4  2]]"
88,3127,0.05250674,COVID-2082.png,"[[ 38   6   0 ...   0   6  37]
 [ 38   6   0 ...   0   6  37]
 [ 37   6   0 ...   0   6  37]
 ...
 [ 50  20  22 ...  14  18  49]
 [ 59  28  28 ...  25  29  58]
 [111  88  85 ...  88  90 111]]"
89,7603,0.052385934,Lung_Opacity-4565.png,"[[10 17 18 ... 21 21 21]
 [11 19 20 ... 24 24 23]
 [10 18 20 ... 24 24 24]
 ...
 [23 29 29 ... 78 81 86]
 [18 26 28 ... 75 77 82]
 [13 19 20 ... 52 49 55]]"
90,5032,0.052283358,COVID-1435.png,"[[ 96 103 112 ...  75  75  78]
 [ 98 104 114 ...  83  88  95]
 [117 107 112 ...  97 108 111]
 ...
 [171 165 167 ... 157 166 179]
 [169 165 168 ... 156 166 179]
 [171 167 166 ... 158 171 181]]"
91,3562,0.052097645,COVID-204.png,"[[ 8  9  8 ...  5  5  5]
 [ 8  8  8 ...  6  5  5]
 [ 8  8  8 ...  5  5  6]
 ...
 [14 15 16 ...  6  6  7]
 [14 15 16 ...  6  5  7]
 [14 14 14 ...  5  6  7]]"
92,1488,0.05192183,Normal-926.png,"[[121 147 151 ...   0   0   0]
 [ 61  73  75 ...   0   0   0]
 [ 22  25  26 ...   0   0   0]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]"
93,5568,0.051847015,COVID-967.png,"[[185 105  84 ...  90  91  95]
 [151  39  10 ...  20  21  26]
 [150  28   0 ...   8   9  15]
 ...
 [249 243 242 ... 249 239 190]
 [248 242 241 ... 251 242 206]
 [251 245 244 ... 249 251 242]]"
94,3341,0.051687486,COVID-1799.png,"[[34  6  0 ...  0  6 34]
 [34  6  0 ...  0  6 34]
 [34  6  0 ...  0  6 34]
 ...
 [34  6  0 ...  0  6 34]
 [34  6  0 ...  0  6 34]
 [34  6  0 ...  0  6 34]]"
95,1835,0.05162033,Normal-7044.png,"[[ 5  5  5 ...  7 11 12]
 [ 5  5  5 ...  7 11 12]
 [ 5  5  5 ...  7 11 12]
 ...
 [ 6  6  6 ...  9 10 10]
 [ 8  8  8 ... 12 13 13]
 [10 10 10 ... 17 18 18]]"
96,276,0.051364936,Normal-492.png,"[[23 29 28 ...  6  1  0]
 [23 28 27 ...  3  1  0]
 [22 27 25 ...  2  0  0]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]"
97,4713,0.05122253,COVID-247.png,"[[136 121 123 ...  93  92  95]
 [140 124 124 ...  94  94  94]
 [141 124 126 ...  94  95  95]
 ...
 [238 236 241 ... 149 143 142]
 [239 239 243 ... 150 143 144]
 [239 240 243 ... 148 141 141]]"
98,4465,0.050972562,COVID-1079.png,"[[109 106 106 ...  14  16  28]
 [102  97 101 ...  16  17  29]
 [100  93  96 ...  20  21  28]
 ...
 [191 188 188 ... 149 150 151]
 [193 191 188 ... 158 156 156]
 [163 162 161 ... 150 149 150]]"
99,4504,0.050820805,COVID-3114.png,"[[4 2 1 ... 0 0 0]
 [3 2 1 ... 0 0 0]
 [3 2 1 ... 0 0 0]
 ...
 [0 0 0 ... 3 3 2]
 [0 0 0 ... 3 3 2]
 [0 0 0 ... 4 3 2]]"
