,selected_image_indices,value,selected_image_names,selected_images,selected_image_classes
10,1549,0.12713394,be197b663520.png,"[[[2 1 0]
  [2 1 0]
  [2 1 0]
  ...
  [2 1 0]
  [2 1 0]
  [2 1 0]]

 [[2 1 0]
  [2 1 0]
  [2 1 0]
  ...
  [2 1 0]
  [2 1 0]
  [2 1 0]]

 [[2 1 0]
  [2 1 0]
  [2 1 0]
  ...
  [3 2 1]
  [3 2 0]
  [2 1 0]]

 ...

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [1 1 1]
  [1 1 1]
  [0 0 0]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [1 1 1]
  [1 1 1]
  [0 0 0]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [1 1 1]
  [1 1 1]
  [0 0 0]]]",Normal
11,3397,0.12093464,1a7e3356b39c.png,"[[[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [2 2 2]
  [3 1 2]
  [1 1 1]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [1 1 1]
  [2 1 1]
  [2 2 2]]

 [[1 2 1]
  [2 2 2]
  [1 1 1]
  ...
  [1 1 1]
  [1 1 1]
  [2 2 2]]

 ...

 [[1 1 1]
  [1 1 1]
  [3 1 2]
  ...
  [1 1 1]
  [2 2 2]
  [3 0 2]]

 [[2 1 2]
  [2 0 1]
  [2 1 2]
  ...
  [1 1 1]
  [1 1 1]
  [2 1 2]]

 [[3 0 2]
  [3 1 2]
  [1 1 1]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]]",Severe
12,2524,0.11408023,5a091e8cd95c.png,"[[[3 1 2]
  [3 1 2]
  [3 1 2]
  ...
  [3 1 2]
  [3 1 2]
  [3 1 2]]

 [[3 1 2]
  [3 1 2]
  [3 1 2]
  ...
  [3 1 2]
  [3 1 2]
  [3 1 2]]

 [[3 1 2]
  [3 1 2]
  [3 1 2]
  ...
  [3 1 2]
  [3 1 2]
  [3 1 2]]

 ...

 [[3 1 2]
  [3 1 2]
  [3 1 2]
  ...
  [3 1 2]
  [3 1 2]
  [3 1 2]]

 [[2 1 2]
  [3 1 2]
  [2 1 2]
  ...
  [3 1 2]
  [2 1 2]
  [2 1 2]]

 [[1 1 1]
  [2 2 2]
  [1 1 1]
  ...
  [3 1 2]
  [2 2 2]
  [2 2 2]]]",Mild
13,3417,0.10924897,ab1c20a94f3f.png,"[[[2 0 1]
  [2 0 1]
  [2 0 1]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 [[2 0 1]
  [2 0 1]
  [2 0 1]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 [[2 0 1]
  [2 0 1]
  [2 0 1]
  ...
  [1 1 1]
  [1 1 1]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [1 1 1]]]",Severe
14,1295,0.104821995,fcc32dffd24d.png,"[[[4 4 6]
  [4 4 6]
  [4 4 6]
  ...
  [4 3 7]
  [4 3 7]
  [4 4 6]]

 [[4 4 6]
  [4 4 7]
  [4 3 7]
  ...
  [4 4 6]
  [4 3 6]
  [4 4 6]]

 [[4 4 6]
  [4 4 6]
  [4 4 6]
  ...
  [4 4 6]
  [4 4 6]
  [4 3 7]]

 ...

 [[4 4 6]
  [4 4 7]
  [5 4 7]
  ...
  [4 4 6]
  [4 4 7]
  [4 4 6]]

 [[4 4 6]
  [4 3 7]
  [4 4 6]
  ...
  [4 4 6]
  [4 3 8]
  [4 4 7]]

 [[4 4 6]
  [5 3 6]
  [4 3 7]
  ...
  [4 4 6]
  [5 4 6]
  [4 4 6]]]",Normal
15,3179,0.10071526,7b29e3783919.png,"[[[ 6  4  2]
  [ 6  4  2]
  [ 7  4  4]
  ...
  [ 6  4  3]
  [ 7  4  3]
  [ 6  3  3]]

 [[ 9  5  2]
  [ 9  5  2]
  [10  5  2]
  ...
  [ 9  5  4]
  [ 9  5  3]
  [ 9  3  3]]

 [[10  5  2]
  [ 9  5  2]
  [10  5  2]
  ...
  [ 9  5  4]
  [ 9  5  3]
  [ 9  4  2]]

 ...

 [[ 9  5  4]
  [ 9  5  4]
  [ 9  5  4]
  ...
  [ 9  5  4]
  [ 9  5  3]
  [ 9  3  3]]

 [[10  4  4]
  [10  4  4]
  [ 9  5  4]
  ...
  [ 9  5  4]
  [ 8  4  3]
  [ 9  3  3]]

 [[ 9  4  4]
  [ 9  5  4]
  [ 9  5  4]
  ...
  [ 9  5  4]
  [ 8  4  3]
  [ 9  3  3]]]",Severe
16,1930,0.097232826,79540be95177.png,"[[[1 1 1]
  [3 2 2]
  [3 1 2]
  ...
  [3 1 2]
  [3 1 2]
  [3 1 2]]

 [[2 2 2]
  [3 1 2]
  [2 0 1]
  ...
  [1 2 1]
  [1 1 1]
  [2 0 1]]

 [[3 1 2]
  [3 1 2]
  [2 0 1]
  ...
  [2 1 2]
  [2 1 2]
  [1 1 1]]

 ...

 [[1 1 1]
  [2 2 2]
  [1 1 1]
  ...
  [2 2 2]
  [1 1 1]
  [1 1 1]]

 [[2 2 2]
  [1 1 1]
  [1 1 1]
  ...
  [1 1 1]
  [2 2 2]
  [1 1 1]]

 [[3 1 2]
  [3 2 2]
  [2 2 2]
  ...
  [1 1 1]
  [2 1 1]
  [3 1 2]]]",Mild
17,1880,0.09400991,3a61e690f4bb.png,"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 1]
  ...
  [0 1 1]
  [0 0 0]
  [0 2 0]]

 [[1 0 0]
  [0 0 0]
  [0 0 2]
  ...
  [0 0 0]
  [0 1 0]
  [0 1 1]]

 [[2 0 0]
  [0 0 0]
  [0 0 3]
  ...
  [2 0 0]
  [0 1 1]
  [4 0 4]]]",Mild
18,3523,0.09120437,838c87c63422.png,"[[[3 1 2]
  [3 1 2]
  [3 1 2]
  ...
  [3 1 2]
  [3 1 2]
  [3 1 2]]

 [[3 1 2]
  [3 1 2]
  [3 1 2]
  ...
  [3 1 2]
  [3 1 2]
  [3 1 2]]

 [[3 1 2]
  [3 1 2]
  [3 1 2]
  ...
  [3 1 2]
  [3 1 2]
  [3 1 2]]

 ...

 [[3 1 2]
  [3 1 2]
  [3 1 2]
  ...
  [2 2 2]
  [3 1 2]
  [3 1 2]]

 [[3 1 2]
  [3 1 2]
  [3 1 2]
  ...
  [2 2 2]
  [3 1 2]
  [3 1 2]]

 [[3 1 2]
  [3 1 2]
  [3 1 2]
  ...
  [3 1 2]
  [3 1 2]
  [3 1 2]]]",Severe
19,1720,0.0890959,cb39761f0712.png,"[[[3 2 0]
  [3 2 0]
  [3 2 0]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 [[1 0 0]
  [1 0 0]
  [1 0 0]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 [[1 0 0]
  [2 1 0]
  [2 1 0]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 ...

 [[1 1 1]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]",Normal
20,644,0.0862279,511fd66b2df8.png,"[[[6 6 7]
  [6 5 8]
  [6 6 7]
  ...
  [6 5 8]
  [6 6 8]
  [6 5 7]]

 [[5 5 7]
  [5 5 8]
  [6 6 8]
  ...
  [6 6 8]
  [6 6 8]
  [6 6 7]]

 [[5 5 8]
  [6 6 7]
  [6 6 7]
  ...
  [6 6 8]
  [6 6 8]
  [5 6 7]]

 ...

 [[5 5 7]
  [5 5 7]
  [5 5 7]
  ...
  [5 5 7]
  [6 5 7]
  [5 5 7]]

 [[5 5 6]
  [6 5 7]
  [5 5 7]
  ...
  [5 5 7]
  [6 6 7]
  [5 5 7]]

 [[5 5 6]
  [6 5 6]
  [6 6 7]
  ...
  [6 6 7]
  [5 5 8]
  [5 5 6]]]",Normal
21,3584,0.084050186,e3ec668f6fad.png,"[[[2 0 2]
  [2 0 2]
  [3 0 2]
  ...
  [2 0 2]
  [2 0 2]
  [2 0 2]]

 [[2 0 2]
  [2 0 2]
  [2 0 2]
  ...
  [2 0 2]
  [2 0 2]
  [2 0 2]]

 [[2 0 2]
  [2 0 2]
  [2 0 2]
  ...
  [2 0 2]
  [2 0 2]
  [2 0 2]]

 ...

 [[2 0 2]
  [2 0 2]
  [2 0 2]
  ...
  [2 0 2]
  [2 0 2]
  [2 0 2]]

 [[2 0 2]
  [2 0 2]
  [2 0 2]
  ...
  [2 0 2]
  [2 0 2]
  [2 0 2]]

 [[2 0 2]
  [2 0 2]
  [2 0 2]
  ...
  [2 0 2]
  [2 0 2]
  [2 0 2]]]",Severe
22,3360,0.08184889,4a7dc013e802.png,"[[[4 4 6]
  [4 4 6]
  [4 4 6]
  ...
  [4 4 6]
  [5 4 7]
  [4 4 6]]

 [[4 4 6]
  [4 4 6]
  [4 4 6]
  ...
  [5 4 6]
  [4 4 6]
  [4 4 6]]

 [[4 4 6]
  [4 4 6]
  [4 4 6]
  ...
  [4 4 6]
  [4 4 6]
  [4 4 6]]

 ...

 [[4 4 6]
  [4 4 7]
  [5 4 6]
  ...
  [5 4 7]
  [4 4 7]
  [4 4 6]]

 [[4 4 6]
  [4 4 6]
  [5 4 7]
  ...
  [5 4 6]
  [5 4 6]
  [4 4 7]]

 [[4 4 7]
  [4 4 7]
  [5 5 7]
  ...
  [5 4 7]
  [4 4 6]
  [4 4 6]]]",Severe
23,1294,0.08003569,44271f3cb18f.png,"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]",Normal
24,3628,0.078246646,262ad704319c.png,"[[[1 0 0]
  [1 0 0]
  [1 0 0]
  ...
  [1 1 0]
  [0 0 0]
  [0 0 0]]

 [[2 1 0]
  [1 0 0]
  [1 0 0]
  ...
  [1 1 0]
  [1 1 0]
  [0 0 0]]

 [[0 0 1]
  [1 0 0]
  [2 1 0]
  ...
  [0 0 0]
  [1 1 0]
  [0 0 0]]

 ...

 [[2 0 0]
  [2 0 0]
  [0 1 3]
  ...
  [0 1 0]
  [0 0 1]
  [0 0 1]]

 [[1 0 2]
  [2 0 0]
  [0 1 0]
  ...
  [0 0 1]
  [0 0 0]
  [0 0 0]]

 [[0 0 4]
  [0 0 1]
  [1 0 0]
  ...
  [0 0 1]
  [0 0 0]
  [1 0 0]]]",Severe
25,748,0.07711413,28751f290ba3.png,"[[[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [1 1 1]
  [1 1 1]
  [2 2 2]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [1 1 1]
  [1 1 1]
  [0 0 0]]

 [[1 1 1]
  [1 1 1]
  [2 2 2]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 ...

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [1 1 1]
  ...
  [0 0 0]
  [0 0 0]
  [1 1 1]]]",Normal
26,965,0.07595157,18ce0cdc473d.png,"[[[6 6 6]
  [6 6 8]
  [6 6 8]
  ...
  [6 6 7]
  [6 6 8]
  [6 6 7]]

 [[7 5 6]
  [6 6 7]
  [6 5 7]
  ...
  [6 6 8]
  [6 6 7]
  [6 5 7]]

 [[6 6 7]
  [6 6 7]
  [6 6 7]
  ...
  [6 5 7]
  [6 6 7]
  [6 6 7]]

 ...

 [[6 6 8]
  [6 6 7]
  [6 5 7]
  ...
  [6 6 7]
  [7 6 7]
  [6 6 8]]

 [[6 5 7]
  [6 6 7]
  [6 6 8]
  ...
  [7 5 9]
  [6 6 8]
  [6 6 8]]

 [[6 5 7]
  [6 6 8]
  [6 6 7]
  ...
  [7 5 9]
  [7 5 9]
  [7 5 7]]]",Normal
27,1343,0.073856965,165634a6167e.png,"[[[5 4 7]
  [5 5 7]
  [5 5 7]
  ...
  [5 4 6]
  [4 4 7]
  [4 4 6]]

 [[4 5 7]
  [5 5 7]
  [5 5 7]
  ...
  [5 5 6]
  [4 4 6]
  [4 4 7]]

 [[5 4 7]
  [5 6 7]
  [6 5 7]
  ...
  [5 4 6]
  [5 4 6]
  [4 3 7]]

 ...

 [[6 6 7]
  [6 6 8]
  [6 6 7]
  ...
  [5 5 7]
  [5 5 7]
  [5 5 7]]

 [[6 6 7]
  [6 6 7]
  [6 6 7]
  ...
  [5 5 6]
  [5 4 7]
  [5 4 6]]

 [[6 5 7]
  [6 6 8]
  [6 6 7]
  ...
  [5 4 7]
  [5 5 7]
  [5 4 6]]]",Normal
28,3313,0.07297999,4bd941611343.png,"[[[10  4  4]
  [10  5  4]
  [10  5  2]
  ...
  [10  5  2]
  [10  5  2]
  [10  4  3]]

 [[10  5  3]
  [ 9  5  2]
  [10  5  2]
  ...
  [ 9  5  2]
  [10  5  2]
  [10  4  3]]

 [[10  5  2]
  [ 9  5  2]
  [10  5  2]
  ...
  [ 9  5  2]
  [10  5  2]
  [10  4  3]]

 ...

 [[10  4  4]
  [10  4  4]
  [ 9  5  2]
  ...
  [10  4  4]
  [10  4  3]
  [ 9  3  3]]

 [[ 9  5  4]
  [ 9  5  4]
  [ 9  5  4]
  ...
  [10  4  4]
  [ 9  4  3]
  [ 9  3  2]]

 [[ 9  5  4]
  [ 9  4  4]
  [10  4  4]
  ...
  [ 9  5  4]
  [ 9  5  3]
  [ 9  3  3]]]",Severe
29,1991,0.07144585,ca360bec5851.png,"[[[3 1 2]
  [2 0 1]
  [2 0 1]
  ...
  [3 1 2]
  [3 1 2]
  [3 1 2]]

 [[3 1 2]
  [3 1 2]
  [3 1 2]
  ...
  [3 1 2]
  [3 1 2]
  [3 1 2]]

 [[3 1 2]
  [3 1 2]
  [2 0 1]
  ...
  [2 0 1]
  [2 0 1]
  [3 1 2]]

 ...

 [[3 1 2]
  [1 0 1]
  [1 1 1]
  ...
  [3 1 2]
  [2 0 1]
  [2 0 1]]

 [[3 1 2]
  [1 1 1]
  [1 1 1]
  ...
  [3 1 2]
  [2 0 1]
  [3 1 2]]

 [[1 1 1]
  [2 2 2]
  [1 1 1]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]]",Mild
30,3399,0.07030478,cd972e5639e0.png,"[[[4 4 7]
  [5 5 7]
  [4 5 6]
  ...
  [5 5 7]
  [4 5 7]
  [4 5 7]]

 [[4 4 7]
  [5 5 7]
  [4 5 7]
  ...
  [5 5 8]
  [5 5 7]
  [5 4 7]]

 [[4 5 7]
  [4 4 7]
  [4 5 7]
  ...
  [5 5 7]
  [5 5 7]
  [4 5 7]]

 ...

 [[6 5 8]
  [6 6 7]
  [5 5 7]
  ...
  [6 6 7]
  [5 6 8]
  [6 5 8]]

 [[5 6 7]
  [6 6 8]
  [5 5 8]
  ...
  [5 5 8]
  [5 5 8]
  [6 6 8]]

 [[5 5 7]
  [6 5 8]
  [6 6 7]
  ...
  [5 5 8]
  [5 5 8]
  [5 5 7]]]",Severe
31,3170,0.06932238,2241b7e90782.png,"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [1 1 1]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [1 1 1]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [1 1 1]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 1 1]
  ...
  [0 0 3]
  [0 2 0]
  [0 1 0]]

 [[0 0 0]
  [0 1 0]
  [0 0 0]
  ...
  [1 0 3]
  [1 0 0]
  [0 1 2]]

 [[2 0 0]
  [0 2 0]
  [1 1 0]
  ...
  [3 0 1]
  [2 0 0]
  [0 0 5]]]",Mild
32,1540,0.068160385,1b398c0494d1.png,"[[[2 1 0]
  [2 1 0]
  [2 1 0]
  ...
  [3 2 0]
  [3 2 0]
  [2 1 0]]

 [[2 1 0]
  [2 1 0]
  [2 1 0]
  ...
  [3 2 0]
  [3 2 0]
  [2 1 0]]

 [[2 1 0]
  [2 1 0]
  [3 2 0]
  ...
  [2 1 0]
  [2 1 0]
  [3 2 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [1 1 1]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 [[0 0 0]
  [0 0 0]
  [1 1 1]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]",Normal
33,2685,0.06729017,03747397839f.png,"[[[3 1 2]
  [2 0 1]
  [3 1 2]
  ...
  [3 1 2]
  [3 1 2]
  [3 1 2]]

 [[3 1 2]
  [2 1 1]
  [3 1 2]
  ...
  [3 1 2]
  [3 1 2]
  [3 1 2]]

 [[3 1 2]
  [2 2 2]
  [2 2 2]
  ...
  [3 1 2]
  [3 1 2]
  [3 1 2]]

 ...

 [[2 0 1]
  [2 0 1]
  [3 0 1]
  ...
  [1 1 1]
  [1 1 1]
  [2 2 2]]

 [[3 1 2]
  [3 1 2]
  [3 1 2]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 [[1 1 1]
  [2 2 2]
  [2 2 2]
  ...
  [2 2 2]
  [1 1 1]
  [1 1 1]]]",Mild
34,3274,0.06632072,211518c46162.png,"[[[2 0 2]
  [2 0 2]
  [3 0 2]
  ...
  [2 0 2]
  [2 0 2]
  [3 0 2]]

 [[2 0 2]
  [2 0 2]
  [2 0 2]
  ...
  [2 0 2]
  [2 0 2]
  [2 0 2]]

 [[3 0 2]
  [2 0 2]
  [3 0 2]
  ...
  [2 0 2]
  [2 0 2]
  [2 0 2]]

 ...

 [[2 0 2]
  [2 0 2]
  [2 0 2]
  ...
  [3 1 3]
  [2 0 2]
  [2 0 2]]

 [[2 0 2]
  [2 0 2]
  [2 0 2]
  ...
  [3 0 2]
  [2 0 2]
  [2 0 2]]

 [[2 0 2]
  [2 0 2]
  [2 0 2]
  ...
  [2 0 2]
  [2 0 2]
  [2 0 2]]]",Severe
